shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10001,43.435316,-80.558486,660037
10001,43.435286,-80.558467,660038
10001,43.435257,-80.558440,660039
10001,43.434979,-80.558940,660040
10001,43.434658,-80.559516,660041
10001,43.434677,-80.559542,660042
10001,43.434689,-80.559566,660043
10001,43.434698,-80.559593,660044
10001,43.434704,-80.559621,660045
10001,43.434706,-80.559649,660046
10001,43.434704,-80.559679,660047
10001,43.434699,-80.559708,660048
10001,43.434690,-80.559735,660049
10001,43.434681,-80.559753,660050
10001,43.434688,-80.559763,660051
10001,43.434987,-80.560079,660052
10001,43.434810,-80.560391,660053
10001,43.434792,-80.560466,660054
10001,43.434821,-80.560533,660055
10001,43.434865,-80.560573,660056
10001,43.435605,-80.561354,660057
10001,43.435821,-80.560961,660058
10001,43.435221,-80.560327,660059
10009,43.451371,-80.444649,10001
10009,43.452059,-80.445093,10002
10009,43.453328,-80.445922,10003
10009,43.453328,-80.445922,20001
10009,43.453935,-80.446318,20002
10009,43.454600,-80.446738,20003
10009,43.455030,-80.447022,20004
10009,43.455030,-80.447022,30001
10009,43.455136,-80.447092,30002
10009,43.456215,-80.447798,30003
10009,43.456575,-80.448101,30004
10009,43.456888,-80.448491,30005
10009,43.457144,-80.448955,30006
10009,43.457240,-80.449204,30007
10009,43.457478,-80.450056,30008
10009,43.457585,-80.450463,30009
10009,43.457585,-80.450463,40001
10009,43.457661,-80.450751,40002
10009,43.458373,-80.453505,40003
10009,43.458672,-80.454672,40004
10009,43.458722,-80.454896,40005
10009,43.458722,-80.454896,50001
10009,43.458794,-80.455229,50002
10009,43.458834,-80.455678,50003
10009,43.458785,-80.457395,50004
10009,43.458649,-80.457400,50005
10009,43.458509,-80.457485,50006
10009,43.458445,-80.457607,50007
10009,43.458333,-80.457973,50008
10009,43.458246,-80.458256,50009
10009,43.458246,-80.458256,60001
10009,43.457864,-80.459503,60002
10009,43.457556,-80.460489,60003
10009,43.457416,-80.460876,60004
10009,43.457416,-80.460876,70001
10009,43.457400,-80.460919,70002
10009,43.457236,-80.461223,70003
10009,43.457015,-80.461532,70004
10009,43.456757,-80.461779,70005
10009,43.456616,-80.461877,70006
10009,43.456356,-80.462125,70007
10009,43.456214,-80.462309,70008
10009,43.456002,-80.462683,70009
10009,43.455869,-80.463035,70010
10009,43.455576,-80.463871,70011
10009,43.455576,-80.463871,80001
10009,43.455113,-80.465188,80002
10009,43.454744,-80.466253,80003
10009,43.454526,-80.466906,80004
10009,43.454250,-80.467685,80005
10009,43.454250,-80.467685,90001
10009,43.454226,-80.467751,90002
10009,43.454053,-80.468302,90003
