stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1190,1190,Highpoint / Rolling Hills,,  43.489140, -80.562992,,,0,,1
1191,1191,Highpoint / Northfield,,  43.491089, -80.564264,,,0,,1
1193,1193,Northlake / Highpoint,,  43.493619, -80.563961,,,0,,1
1194,1194,Northlake / Green Meadow,,  43.494709, -80.559538,,,0,,1
1195,1195,Northlake / Skylark,,  43.494509, -80.556657,,,0,,1
1196,1196,Northfield / Skylark,,  43.493525, -80.555935,,,0,,1
1197,1197,Northfield / Northgate,,  43.494353, -80.553554,,,0,,1
1198,1198,Northfield / Weber,,  43.495643, -80.549710,,,0,,1
1199,1199,Northfield / Weber,,  43.496232, -80.548259,,,0,,1
1200,1200,Northfield / Parkside,,  43.496944, -80.546213,,,0,place_PSN,1
1201,1201,Northfield / Conestogo,,  43.500188, -80.536994,,,0,,1
1202,1202,Northfield / King,,  43.501393, -80.533612,,,0,,1
1203,1203,Ira Needles / Highland,,  43.423491, -80.552556,,,0,,1
1204,1204,Davenport / Northfield,,  43.502516, -80.528074,,,0,,1
1205,1205,Davenport / Old Abbey,,  43.499940, -80.525620,,,0,,1
1206,1206,Davenport / Northfield,,  43.503138, -80.528267,,,0,,1
1207,1207,Davenport / Northfield,,  43.503915, -80.528718,,,0,,1
1208,1208,Frobisher / Davenport,,  43.505357, -80.529214,,,0,,1
1209,1209,Frobisher / 100 Block,,  43.506055, -80.527997,,,0,,1
1210,1210,Frobisher / Mcmurray,,  43.507085, -80.526702,,,0,,1
1211,1211,Highland / Westforest,,  43.424982, -80.544442,,,0,,1
1212,1212,Kraus / Northfield,,  43.501473, -80.530618,,,0,,1
1213,1213,Columbia / Ladyslipper,,  43.449676, -80.586500,,,0,,1
1214,1214,Columbia / Ladyslipper,,  43.449369, -80.586771,,,0,,1
1215,1215,Mcmurray / Northland,,  43.508940, -80.528472,,,0,,1
